proper names,WGSN-id,Designation,HIP,Bayer ID,Simbad spelling,Constellation,Origin,Ethnic-Cultural_Group_or_Language,Reference,Date of Adoption 
Alnilam,1932,HR 1903,26311,? Ori,Alnilam,Ori,"Applied in recent times from the pre-Islamic Arabian asterism name al-nizam, ""the String of Pearls,"" for ?, ?, and ? Ori.",Arabic,"Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.",7/20/2016
Alnitak,1977,* zet Ori,26727,? Ori,Alnitak,Ori,"Applied in recent times from an abbreviation of the pre-Islamic Arabian asterism name nitaq al-jauza, ""the Belt (or Girdle) of al-jauza,"" for ?, ?, and ? Ori.",Arabic,"Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.",7/20/2016
Alphard,3723,HR 3748,46390,? Hya,Alphard,Hya,"Applied in medieval times from its pre-Islamic Arabian name al-fard, ""the Solitary One,"" descriptive of this star's standing out among the surrounding dim stars. (See the same word in the plural, with ? CMa.)",Arabic,"Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.",7/20/2016
Alphecca,5791,HR 5793,76267,? CrB,Alphecca,CrB,"Applied in medieval times from the pre-Islamic Arabian asterism name al-fakka, for Corona Borealis. The Arabic name, from the root f-k-k, ""to separate, break up, etc.,"" apparently refers to this asterism's shape: an incomplete circle.",Arabic,"Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.",7/20/2016
Aludra,2798,HR 2827,35904,? CMa,Aludra,CMa,"Applied in recent times from the alternative Arabic asterism name al-(udhra, ""the Virginity"", and (udhrat aljauza), ""the Virginity [?] of al-jauza)"", for ?, ?, ? and ?2 CMa. The name (udhrat al-jauza), by tying it with the nearly Arabic asterism al-jauza) (today's Orion), may have been an attempt to apply significance to the enigmatic and perhaps older name al-(udhra.",Arabic,"Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.",7/20/2016
Alula Australis,4371,* ksi UMa,55203,? UMa,Alula Australis,UMa,"Applied in recent times from their pre-Islamic Arabian name al-qafza al-ula, ""the First Leap"", and the Latin distinctions of ""northern"" and ""southern,"" respectively.",Arabic,"Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.",7/20/2016
Alula Borealis,4372,HR 4377,55219,? UMa,Alula Borealis,UMa,"Applied in recent times from their pre-Islamic Arabian name al-qafza al-ula, ""the First Leap"", and the Latin distinctions of ""northern"" and ""southern,"" respectively.",Arabic,"Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.",7/20/2016
Ankaa,133,HR 99,2081,?  Phe,Ankaa,Phe,Applied in recent times from the modern Arabic constellation name al-'anqa' (a fabulous bird) for Phoenix.,Arabic,"Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.",7/20/2016
Arneb,1887,HR 1865,25985,? Lep,Arneb,Lep,"Applied in recent times from the Arabic constellation name al-arnab ""the Hare"", for Lepus.",Arabic,"Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.",7/20/2016
Aspidiske,3664,HR 3699,45556,? Car,Aspidiske,Car,"Applied in recent times from the Greek word ?????????, ""little shield"", used by Ptolemy in the Almagest in describing several stars in his constellation Argo, that were fixed to the ship for protection and decoration. Ptolemy's shields were in today's Puppis and Vela, but their identification was confused when Argo was divided into the modern Carina, Puppis, and Vela.",Greek,"Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.",7/20/2016
Atria,6260,HR 6217,82273,? TrA,Atria,TrA,"Contraction of Bayer designation A(lpha) Tri(anguli) A(ustralis). The name is listed as ""Alpha Tri. Aust."" in 1951 American Nautical Almanac, but listed as ""Atria"" in 1952 version and subsequent versions.",Latin,"""The American Nautical Almanac for the Year 1952"" (United States Naval Observatory, Washington D.C.).",7/20/2016
Avior,3268,HR 3307,41037,? Car,Avior,Car,Invented for The Air Almanac of the HM Nautical Almanac Office,English,"""A Personal History of H.M. Nautical Almanac Office: 30 October 1930-18 February 1972"" by Donald H. Sadler.  Edited by George A. Wilkins. Sidford, Devon, 2008. Copyright United Kingdom Hydrographic Office, 2008.",7/20/2016
Chara,4789,HR 4785,61317,? CVn,Chara,CVn,"Applied in Early Modern times from the Greek word ????, ""joy"", that was used by Hevelius in 1690 to name the southern dog (marked by ? and ? CVn) in his new constellation Canes Vanatici.",Greek,"Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.",7/20/2016
Chertan,4356,HR 4359,54879,? Leo,Chertan,Leo,"Applied in recent times from one spelling of the pre-Islamic Arabian lunar mansion name al-khurtan, ""the Two Small Ribs (at or near the breast),"" for ? and ? Leo. The more common and apparently correct spelling of the lunar mansion name is al-kharatan, of unknown meaning.",Arabic,"Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.",7/20/2016
Copernicus,3135,HR 3522,43587,55 Cnc,Copernicus,Cnc,"Nicolaus Copernicus or Mikolaj Kopernik (1473-1543) was a Polish astronomer who proposed the heliocentric model of the solar system in his book ""De revolutionibus orbium coelestium"".",Latin,2015 NameExoWorlds,7/20/2016
Cor Caroli,4921,HR 4915,63125,?2 CVn,Cor Caroli,CVn,"The name first appeared in 1673 on the northern half of a pair of celestial hemispheres that accompanied a book called Astroscopium by the English cartographer Francis Lamb. He labelled the star Cor Caroli Regis Martyris, a reference to the fact that King Charles I was beheaded, or ‘martyred’, as Lamb loyally put it (Charles had declared himself ‘martyr of the people’ at his execution).",Latin,"Lamb, Francis (1673). Astroscopium, or, Two hemispheres containing all the northern and southern constellations projected upon the poles of the world : which (by the help of a movable horizon) are rendred serviceable in any latitude : the uses of which hemispheres are illustrated by variety of examples.",7/20/2016
Cursa,1690,HR 1666,23875,? Eri,Cursa,Eri,"Applied in recent times from an abbreviation of the pre-Islamic Arabian asterism name kursiy al-jauza' al-muqaddam, ""the Foremost footstool of aljauza' [today's Orion],"" for ?, ? and ? Eri, and ? Ori.",Arabic,"Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.",7/20/2016
Elnath,1826,HR 1791,25428,? Tau,Elnath,Tau,"From the pre-Islamic Arabian name al-na?h, ""the Butting (with the horns),"" an alternative name for the 1st lunar mansion al-shara??n consisting of ? and ? Ari (see ? Ari). Some late Arabic authors also applied al-na?h  as a star name to ? Ari. In recent times the name, as “Nath,” was wrongly transferred to ? Tau, and subsequently it was completed to “Elnath” (adding the Arabic definite article).",Arabic,"Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.",7/20/2016
Enif,8287,HR 8308,107315,? Peg,Enif,Peg,"Applied in medieval times, evidently from the Arabic word anf, ""nose"" (Ptolemy had described this star on the horse's ""muzzle""). However, Arabic sources do not mention anf for ? Peg, only other terms, hence the ultimate origin of ""Enif"" remains uncertain.",Arabic,"Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.",7/20/2016
Furud,2275,HR 2282,30122,? CMa,Furud,CMa,"Ultimately from the Arabic word al-furud, ""the solitary ones"", used in an Arabic poet's allusion to anonymous ""solitary stars"" around some star hadari. The word was not intended as a name for specific stars as some later Arabic authors supposed. The attempted identity of the ""al-furud"" stars, like their companion hadari, was variously attributed to stars in today's Centaurus and Columba. The latter stars were included under Canis Maior in the Almagest, leading, in recent times, to the confused assignment of the erroneous ""Furud"".",Arabic,"Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.",7/20/2016
Gacrux,4770,HR 4763,61084,? Cru,Gacrux,Cru,"Contraction of Gamma and Crux, appearing in the 1940s.",Contemporary,"""The Observer's Handbook (1947; Royal Astronomical Society of Canada), ""The Air Almanac 1953 May-August"" (United States Naval Observatory, Washington; Her Majesty's Stationery Office, London).",7/20/2016
Gomeisa,2826,HR 2845,36188,? CMi,Gomeisa,CMi,"From the pre-Islamic Arabian surname al-ghumaisa', ""the Little Bleary-eyed One ('with a filthy fluid in the corner of the eye'),"" for ? CMi. Wrongly transferred to ? CMi in recent times. The original significance of the surname is unknown. Perhaps as an attempt to explain the significance of al-ghumaisa', as well as that of the surname al-<abur, ""the One Having Crossed Over [a river, etc.],"" for ? CMa, an Arabic fable developed associating these and other equally enigmatic star names. According to one version of the  fable, al-ghumaisa and ai-'abur were sisters, and their brother was suhail (? Car). Suhail, in turn, was the suitor of al-jauza' (the feminine pre-Islamic Arabian figure in place of Orion). In coitus, suhail broke the spine of al-jauza', thus killing her, after which suhail fled south. He was followed by his sister al-'abur who ""crossed over"" the Milky Way (where the two stars now lie in the southern sky). Meanwhile suhail's second sister, al-ghumaisa, was left alone north of the Milky Way, weeping, until her ""eyes became bleary."" (The pre-Islamic Arabian name for ? CMa was al-shi'ra, of unknown meaning. Apparently it was developed into a dualis form, al-shi'rayan, to accomodate both ? CMa and ? CMi, with the aforementioned ""surnames"" distinguishing the two.)",Arabic,"Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.",7/20/2016
Hamal,660,HR 617,9884,? Ari,Hamal,Ari,"Applied in recent times from the Arabic constellation name, al-hamal, ""the Lamb"", for Aries. al-hamal seems to belong to those zodiacal constellation names already known in Arabic times.",Arabic,"Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.",7/20/2016
Kaus Australis,6930,HR 6879,90185,? Sgr,Kaus Australis,Sgr,"Arbitrarily applied in recent times, together with the Latin distinctions of ""middle,"" ""southern,"" and ""northern"" (for ? Sgr), from the pre-Islamic Arabian (and later Arabic) constellation name al-qaus, ""the Bow."" For the pre-Islamic Arabians, al-qaus was marked by the curved line of stars ?2, o, ?, d, ? and u Sgr (corresponding to what in other cultures was Sagittarius among the zodiacal signs). The Arabics used the indigenous name for the Greeks' Archer, alternatively translated as al-rami.",Arabic,"Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.",7/20/2016
Kaus Borealis,6957,HR 6913,90496,? Sgr,Kaus Borealis,Sgr,"Arbitrarily applied in recent times, together with the Latin distinctions of ""middle,"" ""southern,"" and ""northern"" (for ? Sgr), from the pre-Islamic Arabian (and later Arabic) constellation name al-qaus, ""the Bow."" For the pre-Islamic Arabians, al-qaus was marked by the curved line of stars ?2, o, ?, d, ? and u Sgr (corresponding to what in other cultures was Sagittarius among the zodiacal signs). The Arabics used the indigenous name for the Greeks' Archer, alternatively translated as al-rami.",Arabic,"Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.",7/20/2016
Kaus Media,6902,HR 6859,89931,? Sgr,Kaus Media,Sgr,"Arbitrarily applied in recent times, together with the Latin distinctions of ""middle,"" ""southern,"" and ""northern"" (for ? Sgr), from the pre-Islamic Arabian (and later Arabic) constellation name al-qaus, ""the Bow."" For the pre-Islamic Arabians, al-qaus was marked by the curved line of stars ?2, o, ?, d, ? and u Sgr (corresponding to what in other cultures was Sagittarius among the zodiacal signs). The Arabics used the indigenous name for the Greeks' Archer, alternatively translated as al-rami.",Arabic,"Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.",7/20/2016
Kochab,5529,HR 5563,72607,? UMi,Kochab,UMi,"Applied to ? UMi in Early Modern times and of uncertam derivation. It is probably from one of the names Alrucaba, Rucaba, etc., that were first applied to ? UMa, then to ? UMi, in medieval times. However, the name may also be from the Arabic word kaukab, or the Hebrew word kokhabh, both meaning ""star.""",Arabic,"Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.",7/20/2016
Maia,1191,HR 1149,17573,20 Tau,Maia,Tau,"These names were individually applied in Early Modern times from a family of characters in Greek mythology: Atlas, Pleione and their seven daughters, the Pleiades.",Greek,"Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.",7/20/2016
Mebsuta,2478,HR 2473,32246,? Gem,Mebsuta,Gem,"From an abbreviation of the pre-Islamic Arabian asterism name dhira' al-asad almabsuta, ""the Lion's Outstretched Paw,"" for one of the two pairs ?/? Gem or ?/? CMi. These pairs were assigned to the larger pre-Islamic Arabian asterism al-asad, but there is no unanimity in the Arabic sources as to which pair was the ""outstretched"" or ""folded"" paw. ""Mebsuta"" was arbitrarily applied as a star name to ? Gem in recent times. In its indigenous location stretching from parts of Gemini all the way into Virgo, the pre-Islamic Arabian al-asad, ""the Lion,"" corresponded to what in other cultures was Leo among the zodiacal signs. Subsequently the Arabs used the indigenous name for the smaller Greek Lion (Leo).",Arabic,"Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.",7/20/2016
Meissa,1910,HR 1879,26207,? Ori,Meissa,Ori,"From the pre-Islamic Arabian name al-maisan, for either ? or ? Gem. The meaning of the name is uncertain. It may mean ""the Sparkling One,"" referring to a star, or ""the Proudly Marching One,"" referring to a person. Together, ? and ? Gem composed the pre-Islamic Arabian 6th lunar mansion alhan'a. The nearby stars ?, ?1, and ?2 Ori composed the adjacent 5th lunar mansion al-haq'a. Due to confusion between these two parent lunar mansions in a late Arabic source, ""Meissa"" was wrongly applied to ? Ori (rather than to ? or ? Gem) in recent times. ""Meissa"" (without n at the end) corresponds to pre-Islamic Arabian almaisa', a variant form of al-maisan.",Arabic,"Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.",7/20/2016
Menkalinan,2114,HR 2088,28360,? Aur,Menkalinan,Aur,"Applied in recent times from its Arabic name mankib dhi l-(inan, ""the Shoulder of the Reinholder"".",Arabic,"Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.",7/20/2016
Merope,1199,HR 1156,17608,23 Tau,Merope,Tau,"These names were individually applied in Early Modern times from a family of characters in Greek mythology: Atlas, Pleione and their seven daughters, the Pleiades.",Greek,"Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.",7/20/2016
Miaplacidus,3632,HR 3685,45238,? Car,Miaplacidus,Car,"Applied in recent times, and of unknown astronomical significance. The first element, Mia-, is unexplained. The second element is the Latin adjective placidus, meaning ""calm, gentle"" (here in the masculine form).",Latin,"Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.",7/20/2016
Mimosa,4868,HR 4853,62434,? Cru,Mimosa,Cru,"Applied in recent times, and of unknown astronomical significance. It is from the Latin word mimus, ""an actor"", and is otherwise known as the genus name for certain tropical plants.",Latin,"Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.",7/20/2016
Mintaka,1880,HR 1852,25930,? Ori,Mintaka,Ori,"Applied in recent times from an abbreviation of the pre-Islamic Arabian (and Arabic) asterism name mintaqat al-jauza', ""the Belt (or Girdle) of al-jauza'"", for ?, ?, and ? Ori.",Arabic,"Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.",7/20/2016
Mirfak,1068,HR 1017,15863,? Per,Mirfak,Per,"Applied in recent times from an abbreviation of its pre-Islamic Arabian name mirfaq al-thurayya, ""the Elbow of the Pleiades,"" for its location in the pre-Islamic Arabian asterism here.",Arabic,"Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.",7/20/2016
Mirzam,2290,HR 2294,30324,? CMa,Mirzam,CMa,"Applied in recent times from its Arabic name al-mirzam, of unknown meaning. The Arabs also gave the name to ? CMi, and sometimes to ? Ori. Each al-mirzam star preceded the rising of a brighter star (our Sirius, Procyon, and Betelgeuse, respectively), which probably connects to the unknown meaning.",Arabic,"Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.",7/20/2016
Muscida,3330,HR 3323,41704,? UMa,Muscida,UMa,"Almagestum 1515: ""illa quae est supra extremitatem Musciae"" - Bayer (1603) ""in naso, barbaris muscida."" - attributed to ""Barbarians""",Latin,"Ptolemaeus. (1515). Almagest? Cl[audii] Ptolemei Pheludiensis Alexandrini Astronomo[rum] principis : opus ingens ac nobile omnes celor? motus continens ... Liechtenstein, Petrus.",7/20/2016
Nihal,1847,HR 1829,25606,? Lep,Nihal,Lep,"Applied in recent times from the pre-Islamic Arabian asterism name al-nihal ""the Camels Beginning to Quench Their Thirst"" for ?, ?, ? and ? Lep.",Arabic,"Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.",7/20/2016
Peacock,7796,HR 7790,100751,? Pav,Peacock,Pav,Invented for The Air Almanac of the HM Nautical Almanac Office,English,"""A Personal History of H.M. Nautical Almanac Office: 30 October 1930-18 February 1972"" by Donald H. Sadler.  Edited by George A. Wilkins. Sidford, Devon, 2008. Copyright United Kingdom Hydrographic Office, 2008.",7/20/2016
Phact,1969,HR 1956,26634,? Col,Phact,Col,"Applied in recent times from the Arabic word fakhita, ""ring dove,"" used in connection with the constellation Cygnus in a Early Modern discussion of Arabic bird names.",Arabic,"Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.",7/20/2016
Phecda,4557,HR 4554,58001,? UMa,Phecda,UMa,"Applied in recent times from an abbreviation of its name for the Arabic Almagest period fakhidh al-dubb al-akbar, ""the Thigh of the Greater Bear.""",Arabic,"Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.",7/20/2016
Porrima,4834,HR 4825,61941,? Vir,Porrima,Vir,"The name of a Roman goddess, one of several mythological names mentioned in connection with the constellation Virgo. Applied as a star name in recent times.",Latin,"Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.",7/20/2016
Propus,2227,HR 2216,29655,? Gem,Propus,Gem,"Applied in Early Modern times from the Greek word ???????, ""forward foot"", used by Ptolemy in the Almagest in describing this star.",Greek,"Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.",7/20/2016
Rasalhague,6587,HR 6556,86032,? Oph,Rasalhague,Oph,"Applied with various spellings since medieval times, from its name for the Arabic Almagest period ra's al-?awwa', ""the Head of the Serpent Collector.""",Arabic,"Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.",7/20/2016
Rukbat,7365,HR 7348,95347,? Sgr,Rukbat,Sgr,"Applied in recent times from an abbreviation of its name for the Arabic Almagest period rukbat al-rami, ""the Archer's Knee"".",Arabic,"Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.",7/20/2016
Saiph,2028,HR 2004,27366,? Ori,Saiph,Ori,"From an abbreviation of the Arabic asterism name saif al-jabbar, the Giant's Sword,"" for ?, c, ?, and ? Ori. Wrongly applied as a star name to ? Ori in recent times.",Arabic,"Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.",7/20/2016
Shaula,6580,HR 6527,85927,? Sco,Shaula,Sco,"The Arabic lunar mansion ""Al Shaula"" (""the sting"") refers to the pair Lambda and Upsilon Sco (Al Sufi), the two stars that have been called ""the sting of the Scorpion"" even in MUL.APIN (I ii 31-32) but with different proper names there. ""Shaula"" appeared more in early modern literature for the pair of stinger stars after Hyde's (1665) translation of Ulugh Beg, and specifically for Lambda Sco after Piazzi's (1814) Palermo Catalog.",Sumerian,"Horowitz, W. (2018) ‘Communication and miscommunication in the southern sky’, in Registers and Modes of Communication in the Ancient Near East. 1st edn. Routledge, pp. 69–84.",7/20/2016
Sheratan,590,HR 553,8903,? Ari,Sheratan,Ari,"Applied in recent times from the Arabic lunar mansion name al-shara-tan, for ? and ? Ari. The name means ""two"" of something, but the complete meaning is uncertain. Some Arabic authors suggested that it meant ""the Two Signs"", implying these stars as some kind of celestial indicator; others assumed it meant ""the Two Horns"", referring to the Arabic figure of al-hamals here.",Arabic,"Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.",7/20/2016
Talitha,3552,HR 3569,44127,? UMa,Talitha,UMa,"Applied in recent times from an abbreviation of the pre-Islamic Arabian name alqafza al-thalitha, ""the Third Leap,"" for ? and ? UMa. This pair, with the pairs ?/? and v/? UMa, composed the pre-Islamic Arabian asterism qafazat al-ziba', ""the Leaps of the Gazelles,"" imagined as the tracks left by those animals. In some later tradition, qafazat al-ziba' and adjacent asterisms were associated in a fable, where several gazelles leaped away from the Lion into a pond, leaving their tracks behind.",Arabic,"Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.",7/20/2016
Tania Australis,4042,HR 4069,50801,? UMa,Tania Australis,UMa,"Applied in recent times from their pre-Islamic Arabian name al-qafza al-thaniya, ""the Second Leap"", and the Latin distinctions of ""northern"" and ""southern,"" respectively.",Arabic,"Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.",7/20/2016
Tania Borealis,4009,HR 4033,50372,? UMa,Tania Borealis,UMa,"Applied in recent times from their pre-Islamic Arabian name al-qafza al-thaniya, ""the Second Leap"", and the Latin distinctions of ""northern"" and ""southern,"" respectively.",Arabic,"Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.",7/20/2016
Tonatiuh,4591,HR 4609,58952,,Tonatiuh,Cam,Tonatiuh was the Aztec god of the Sun.,Aztec,2015 NameExoWorlds,7/20/2016
Vindemiatrix,4942,HR 4932,63608,? Vir,Vindemiatrix,Vir,"The formation of this name begins with the classical Greek name for this star: Protrygeter (""the Grape Gatherer"") as it is given in the Almagest: ? ??????? ????v ??? ?????????? ???????????. The Romans translated this name as vindemiator and other similiar masculine forms. Similarly, after a somewhat erroneous translation of the Greek name by the Arabs, the Medieval Latin translation in the Almagest was precedens vindemiatorem, ""the One preceding the Grape Gatherer"", modified in some editions of the Alphonsine Tables into precedens vindemitorem. The exact origin of the current, feminine ""Vindemiatrix"" from any of these forms is uncertain, but it first appeared in Early Modern times.",Latin,"Almagest (Heiberg edition, II 102). Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.",7/20/2016
Wazn,2050,HR 2040,27628,? Col,Wazn,Col,"Applied in recent times from some pre-Islamic Arabian name al-wazn, of unknown significance.",Arabic,"Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.",7/20/2016
Wezen,2676,HR 2693,34444,? CMa,Wezen,CMa,"From the Arabic name al-wazn, for one of a pair of stars, the other one being hadari. Arabic authors ventured to identify these stars as ?/? Cen or ?/? Col, but exactly what two stars were originally intended, and the significance of their names, is unknown. As a common noun in Arabic, al-wazn means ""the weight"". ""Wezen"" was arbitrarily applied to ? CMa in recent times.",Arabic,"Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.",7/20/2016
Zaurak,1269,HR 1231,18543,? Eri,Zaurak,Eri,"From the Arabic word zauraq, ""boat,"" used in an unaginat1ve, nonclassical description of several stars near Eridanus (evidently the stars of today's Phoenix). Arbitrarily applied as a star name toy Eri in recent times.",Arabic,"Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.",7/20/2016
